Name,Surname,Birth,Birth Country,Gender,Code,Telephone,Email,Role,Experience,Salary USD
Perez,Adams,12/07/1999,HU,Male,ADAPER99G12HU99,346 556350,perezadams99@email.not,Operations Manager,Intermediate,65960
Campbell,Collins,13/05/1973,LI,Male,COLCAM73E13LI45,326 508789,campbellcollins73@email.not,Technical Support Technician,Junior,42277
Harper,Wilson,11/09/1958,CYP,Female,WILHAR58I11CYP45,336 491198,harperwilson58@email.not,Financial Analyst,Junior,47519
Davis,Rodriguez,08/01/1991,FRA,Male,RODDAV91A08FRA74,391 294031,davisrodriguez91@email.not,Administrative Assistant,Senior,58255
Aiden,Garcia,,VA,Male,GARAID92I27VA88,332 453200,aidengarcia92@email.not,Research and Development Engineer,Junior,62927
Mitchell,Young,14/09/1951,VA,Male,YOUMIT51I14VA25,315 392557,mitchellyoung51@email.not,Seller,Junior,49271
Jones,Davis,15/09/1951,ITA,Male,DAVJON51I15ITA69,344 230659,jonesdavis51@email.not,Technical Support Technician,Senior,53688
Lucas,Martin,09/11/1952,HR,Male,MARLUC52K09HR93,331 624398,lucasmartin52@email.not,Administrative Assistant,Lead/Manager,55306
Lila,Miller,11/06/1997,ISL,Female,MILLIL97F11ISL87,373 232395,lilamiller97@email.not,Operations Manager,Junior,57933
Anderson,Parker,20/10/1982,XK,Male,PARAND82J20XK43,320 388434,andersonparker82@email.not,Marketing Manager,Lead/Manager,91005
Davis,Adams,18/05/1952,NL,Male,ADADAV52E18NL52,335 171860,davisadams52@email.not,Research and Development Engineer,Junior,56085
Eli,Taylor,21/08/1985,TUR,Male,TAYELI85H21TUR73,339 508058,elitaylor85@email.not,Cybersecurity Expert,Intermediate,80119
Michael,Clark,21/04/1956,AT,Male,CLAMIC56D21AT52,330 700724,michaelclark56@email.not,Operations Manager,Senior,89809
Sebastian,Davis,04/02/1985,VA,Male,DAVSEB85B04VA19,393 472860,sebastiandavis85@email.not,Operations Manager,Junior,66446
Isabella,Williams,01/05/1974,RO,Female,WILISA74E01RO41,350 442237,isabellawilliams74@email.not,Operations Manager,Junior,69534
Emily,Williams,26/03/1994,SMR,Female,WILEMI94C26SMR83,387 955239,emilywilliams94@email.not,Administrative Assistant,Senior,49452
Lily,Garcia,28/03/1976,HU,Female,GARLIL76C28HU92,386 939598,lilygarcia76@email.not,Administrative Assistant,Senior,55532
Stella,Turner,17/10/1975,SMR,Female,TURSTE75J17SMR24,362 875171,stellaturner75@email.not,Software Developer,Senior,66964
Wilson,Harris,16/07/1963,DNK,Male,HARWIL63G16DNK27,350 935541,wilsonharris63@email.not,Cybersecurity Expert,Lead/Manager,94707
Lily,Anderson,26/01/1957,EE,Female,ANDLIL57A26EE60,398 651985,lilyanderson57@email.not,Administrative Assistant,Junior,35895
Thomas,Edwards,15/05/1953,SMR,Male,EDWTHO53E15SMR45,376 833467,thomasedwards53@email.not,Administrative Assistant,Intermediate,42800
Ella,Davis,01/08/1986,LV,Female,DAVELL86H01LV66,347 507074,elladavis86@email.not,Technical Support Technician,Intermediate,50117
William,Baker,17/04/1951,LT,Male,BAKWIL51D17LT99,378 766187,williambaker51@email.not,Software Developer,Senior,70729
Stella,Harris,02/01/1985,PRT,Female,HARSTE85A02PRT80,391 768932,stellaharris85@email.not,Operations Manager,Senior,80011
Evelyn,Hill,01/05/1950,UA,Female,HILEVE50E01UA45,378 744363,evelynhill50@email.not,Software Developer,Lead/Manager,92137
Benjamin,Lee,14/06/1998,ESP,Male,LEEBEN98F14ESP55,364 640236,benjaminlee98@email.not,Cybersecurity Expert,Intermediate,80552
Ethan,Johnson,29/09/1971,ES,Male,JOHETH71I29ES40,363 129330,ethanjohnson71@email.not,Research and Development Engineer,Intermediate,80482
Ethan,Jones,11/05/1960,SI,Male,JONETH60E11SI76,353 984243,ethanjones60@email.not,Research and Development Engineer,Senior,87404
Isabella,Martin,25/07/1963,TUR,Female,MARISA63G25TUR81,351 171641,isabellamartin63@email.not,Seller,Senior,63267
Aria,Campbell,02/10/1952,MC,Female,CAMARI52J02MC30,386 857951,ariacampbell52@email.not,Seller,Senior,57965
Lyla,Scott,27/08/1972,LTU,Female,SCOLYL72H27LTU64,397 514389,lylascott72@email.not,Software Developer,Senior,70608
Stewart,Evans,12/05/1975,BIH,Male,EVASTE75E12BIH61,394 732258,stewartevans75@email.not,Technical Support Technician,Intermediate,56002
Jackson,Lopez,25/03/1975,UA,Male,LOPJAC75C25UA23,384 159043,jacksonlopez75@email.not,Human Resources Manager,Lead/Manager,77679
Aaliyah,Jackson,22/03/1991,XKX,Female,JACAAL91C22XKX91,323 848141,aaliyahjackson91@email.not,Seller,Senior,57847
Aria,Adams,15/09/1987,BGR,Female,ADAARI87I15BGR79,339 317823,ariaadams87@email.not,Research and Development Engineer,Senior,83461
Lila,Lewis,07/04/1990,CZE,Female,LEWLIL90D07CZE25,315 258134,lilalewis90@email.not,Marketing Manager,Junior,59390
Liam,Baker,06/11/1953,POL,Male,BAKLIA53K06POL98,390 425269,liambaker53@email.not,Marketing Manager,Intermediate,63595
Abigail,Thomas,15/11/1967,MD,Female,THOABI67K15MD60,396 261664,abigailthomas67@email.not,Software Developer,Junior,58398
Elijah,Roberts,01/12/1993,IS,Male,ROBELI93L01IS39,391 524994,elijahroberts93@email.not,Financial Analyst,Intermediate,58715
Phillips,Adams,27/07/1978,HU,Male,ADAPHI78G27HU92,340 459583,,Research and Development Engineer,Junior,60700
Zoe,Thomas,06/09/1976,HR,Female,THOZOE76I06HR37,368 568368,zoethomas76@email.not,Technical Support Technician,Intermediate,52387
Sofia,Evans,23/12/1989,ITA,Female,EVASOF89L23ITA44,341 678843,sofiaevans89@email.not,Research and Development Engineer,Lead/Manager,87231
Scott,Rodriguez,20/03/1966,CYP,Male,RODSCO66C20CYP41,381 905752,scottrodriguez66@email.not,Administrative Assistant,Intermediate,47876
Amelia,Young,03/10/1996,UA,Female,YOUAME96J03UA95,325 378740,ameliayoung96@email.not,Financial Analyst,Junior,47685
Charlotte,Johnson,30/01/1964,POL,Female,JOHCHA64A30POL29,356 648619,charlottejohnson64@email.not,Financial Analyst,Lead/Manager,77331
Turner,Robinson,14/11/1981,AL,Male,ROBTUR81K14AL35,311 801104,turnerrobinson81@email.not,Human Resources Manager,Lead/Manager,85993
Hill,Edwards,27/05/1958,HU,Male,EDWHIL58E27HU91,394 541489,,Technical Support Technician,Intermediate,47657
Chiara,Green,15/05/1957,ME,Female,GRECHI57E15ME25,388 625231,chiaragreen57@email.not,Human Resources Manager,Junior,50423
Logan,Nelson,20/07/1964,POL,Male,NELLOG64G20POL27,344 319337,logannelson64@email.not,Seller,Senior,60284
Wright,Campbell,24/09/1996,LT,Male,CAMWRI96I24LT46,378 886067,wrightcampbell96@email.not,Operations Manager,Intermediate,74866
Violet,Jackson,10/01/1961,FI,Female,JACVIO61A10FI32,398 871224,violetjackson61@email.not,Technical Support Technician,Junior,47055
Stella,Scott,19/09/1972,BLR,Female,SCOSTE72I19BLR80,328 393968,stellascott72@email.not,Seller,Junior,49159
Lillian,Anderson,06/12/1971,HR,Female,ANDLIL71L06HR81,370 998346,lilliananderson71@email.not,Financial Analyst,Intermediate,54743
Wright,Thomas,15/04/1984,ES,Male,THOWRI84D15ES32,341 924592,wrightthomas84@email.not,Software Developer,Intermediate,59955
Thomas,Young,05/01/2000,FRA,Male,YOUTHO00A05FRA63,352 391745,thomasyoung00@email.not,Marketing Manager,Intermediate,71829
Elijah,Garcia,13/07/1986,BGR,Male,,393 477048,elijahgarcia86@email.not,Technical Support Technician,Lead/Manager,71185
Mitchell,Mitchell,13/01/1957,DE,Male,MITMIT57A13DE61,331 318842,mitchellmitchell57@email.not,Operations Manager,Senior,78880
Sofia,Williams,07/04/1994,MDA,Female,WILSOF94D07MDA10,349 554618,sofiawilliams94@email.not,Seller,Lead/Manager,69750
Aaliyah,Davis,01/02/1953,LUX,Female,DAVAAL53B01LUX89,377 885369,aaliyahdavis53@email.not,Administrative Assistant,Lead/Manager,54585
Wright,Parker,12/05/1985,MNE,Male,PARWRI85E12MNE45,353 386805,wrightparker85@email.not,Cybersecurity Expert,Junior,70451
Scarlett,Lewis,15/10/1951,MC,Female,LEWSCA51J15MC48,344 717508,scarlettlewis51@email.not,Research and Development Engineer,Senior,83753
Jackson,Hernandez,24/11/2000,RS,Male,HERJAC00K24RS89,375 642579,jacksonhernandez00@email.not,Operations Manager,Intermediate,68514
Davis,Mitchell,29/09/1974,CZE,Male,MITDAV74I29CZE75,329 490015,davismitchell74@email.not,Software Developer,Intermediate,75463
Aria,Garcia,18/03/1965,GEO,Female,GARARI65C18GEO65,332 529391,ariagarcia65@email.not,Administrative Assistant,Junior,40519
Evans,Rodriguez,28/05/1967,LI,Male,RODEVA67E28LI34,365 262998,evansrodriguez67@email.not,Human Resources Manager,Senior,71032
William,Lee,02/09/1986,AND,Male,LEEWIL86I02AND44,362 450118,williamlee86@email.not,Cybersecurity Expert,Lead/Manager,96714
Aaliyah,Baker,05/07/2000,LTU,Female,BAKAAL00G05LTU25,391 856984,aaliyahbaker00@email.not,Technical Support Technician,Intermediate,47035
Emily,Carter,04/09/1999,AUT,Female,CAREMI99I04AUT37,358 913627,emilycarter99@email.not,Software Developer,Junior,55731
Anderson,Harris,21/02/1979,DK,Male,HARAND79B21DK25,377 151551,andersonharris79@email.not,Software Developer,Intermediate,64107
Jackson,Clark,29/08/1953,GRC,Male,CLAJAC53H29GRC11,339 522529,jacksonclark53@email.not,Seller,Lead/Manager,64899
Chiara,Williams,28/02/1958,BY,Female,WILCHI58B28BY20,349 287472,chiarawilliams58@email.not,Technical Support Technician,Intermediate,50367
Mia,Smith,25/07/1998,GB,Female,SMIMIA98G25GB49,378 708866,miasmith98@email.not,Operations Manager,Senior,75403
Isabella,Taylor,30/12/1960,VAT,Female,TAYISA60L30VAT16,,isabellataylor60@email.not,Administrative Assistant,Intermediate,49619
Liam,Thompson,17/05/1980,ROU,Male,THOLIA80E17ROU11,365 314669,liamthompson80@email.not,Cybersecurity Expert,Junior,63473
Charlotte,Johnson,11/05/1992,ITA,Female,JOHCHA92E11ITA79,388 401914,charlottejohnson92@email.not,Cybersecurity Expert,Senior,91065
Scarlett,Carter,20/03/1986,LU,Female,CARSCA86C20LU19,316 412485,scarlettcarter86@email.not,Technical Support Technician,Junior,45986
Luna,Rodriguez,02/06/1958,VA,Female,RODLUN58F02VA47,310 188566,lunarodriguez58@email.not,Financial Analyst,Junior,48897
Caden,Turner,17/04/1994,LTU,Male,TURCAD94D17LTU54,354 564832,cadenturner94@email.not,Technical Support Technician,Junior,42796
Charlotte,Clark,23/04/1988,IS,Female,CLACHA88D23IS41,358 683432,charlotteclark88@email.not,Software Developer,Senior,75085
Ella,Wilson,24/02/1996,LT,Female,WILELL96B24LT32,394 628630,ellawilson96@email.not,Seller,Senior,59109
Chiara,Brown,01/09/1976,PT,Female,BROCHI76I01PT37,360 393929,chiarabrown76@email.not,Marketing Manager,Lead/Manager,89317
Lucy,King,04/11/1975,AUT,Female,KINLUC75K04AUT37,328 252790,lucyking75@email.not,Technical Support Technician,Senior,57263
Charlotte,Smith,17/09/1963,LUX,Female,SMICHA63I17LUX33,366 497693,charlottesmith63@email.not,Technical Support Technician,Intermediate,50798
Sophia,Jackson,31/12/1976,CY,Female,JACSOP76L31CY56,367 551008,sophiajackson76@email.not,Seller,Intermediate,46242
Layla,Hernandez,28/09/1988,BGR,Female,HERLAY88I28BGR65,368 378289,laylahernandez88@email.not,Human Resources Manager,Junior,57723
Carter,Rodriguez,09/05/1952,XKX,Male,RODCAR52E09XKX19,348 926503,carterrodriguez52@email.not,Seller,Intermediate,56768
Evelyn,Turner,10/11/1986,LUX,Female,TUREVE86K10LUX14,345 879617,evelynturner86@email.not,Seller,Senior,64162
Lyla,Harris,26/10/1987,BLR,Female,HARLYL87J26BLR44,358 213507,lylaharris87@email.not,Human Resources Manager,Senior,58975
Carter,Walker,31/12/1982,XKX,Male,WALCAR82L31XKX52,370 609268,carterwalker82@email.not,Technical Support Technician,Junior,46955
Aaliyah,Allen,23/07/1964,LT,Female,ALLAAL64G23LT87,357 597457,aaliyahallen64@email.not,Software Developer,Lead/Manager,75478
Riley,Wilson,19/08/1995,BG,Female,WILRIL95H19BG71,388 156318,rileywilson95@email.not,Technical Support Technician,Lead/Manager,67135
Caden,Davis,31/12/2000,FR,Male,DAVCAD00L31FR27,314 720479,cadendavis00@email.not,Financial Analyst,Junior,47078
Ruby,Smith,25/09/1973,BEL,Female,SMIRUB73I25BEL31,343 911604,rubysmith73@email.not,Marketing Manager,Junior,55801
Adams,Young,25/03/1957,FI,Male,YOUADA57C25FI93,364 688315,adamsyoung57@email.not,Seller,Junior,49899
Lily,Collins,30/04/1993,MK,Female,COLLIL93D30MK61,310 705141,lilycollins93@email.not,Technical Support Technician,Intermediate,47712
Logan,Anderson,10/05/1995,LT,Male,ANDLOG95E10LT17,,logananderson95@email.not,Seller,Lead/Manager,68248
Eli,Lewis,11/05/1979,GRC,Male,LEWELI79E11GRC83,335 403803,elilewis79@email.not,Marketing Manager,Junior,55338
Jones,Walker,23/07/1962,ME,Male,WALJON62G23ME67,361 995988,joneswalker62@email.not,Operations Manager,Intermediate,76377
Carter,Rodriguez,24/08/1954,BE,Male,RODCAR54H24BE48,319 370705,carterrodriguez54@email.not,Cybersecurity Expert,Intermediate,85103
Sophia,Thompson,01/08/1970,POL,Female,THOSOP70H01POL82,362 111288,sophiathompson70@email.not,Research and Development Engineer,Junior,56448
Nova,Lopez,15/04/1981,SMR,Female,LOPNOV81D15SMR67,313 775300,novalopez81@email.not,Seller,Junior,44318
Nora,Hall,03/01/1976,EE,Female,HALNOR76A03EE18,332 414114,norahall76@email.not,Human Resources Manager,Lead/Manager,78448
Chloe,Davis,18/04/1984,CY,Female,DAVCHL84D18CY54,378 318392,chloedavis84@email.not,Administrative Assistant,Senior,50324
Hazel,Baker,15/04/1951,TUR,Female,BAKHAZ51D15TUR20,370 601538,hazelbaker51@email.not,Cybersecurity Expert,Senior,91119
Hannah,Evans,18/04/1956,LIE,Female,EVAHAN56D18LIE41,393 204006,hannahevans56@email.not,Cybersecurity Expert,Senior,94784
Lyla,Jackson,26/06/1983,HR,Female,JACLYL83F26HR10,319 746125,lylajackson83@email.not,Financial Analyst,Intermediate,56525
James,Jackson,28/05/1991,FIN,Male,JACJAM91E28FIN97,345 515284,jamesjackson91@email.not,Human Resources Manager,Lead/Manager,74823
Lily,Taylor,05/08/1972,BIH,Female,TAYLIL72H05BIH75,337 751182,lilytaylor72@email.not,Seller,Lead/Manager,68934
Sofia,White,02/12/1952,SVK,Female,WHISOF52L02SVK27,317 824658,sofiawhite52@email.not,Human Resources Manager,Intermediate,67920
Penelope,Allen,26/01/1980,AL,Female,ALLPEN80A26AL76,356 262523,penelopeallen80@email.not,Research and Development Engineer,Intermediate,76342
Ava,Lee,14/12/1972,LI,Female,LEEAVA72L14LI54,383 116466,avalee72@email.not,Software Developer,Lead/Manager,86134
Nora,Williams,02/01/1984,SRB,Female,WILNOR84A02SRB64,399 101356,norawilliams84@email.not,Financial Analyst,Lead/Manager,78264
Daniel,Brown,28/01/1985,NO,Male,BRODAN85A28NO12,360 515666,danielbrown85@email.not,Seller,Senior,64390
Mia,Green,29/06/1997,DK,Female,GREMIA97F29DK88,363 741518,miagreen97@email.not,Software Developer,Junior,57826
Davis,Anderson,17/07/1950,RUS,Male,ANDDAV50G17RUS65,370 143095,davisanderson50@email.not,Technical Support Technician,Intermediate,46164
Emily,Hall,09/11/1993,MKD,Female,HALEMI93K09MKD67,397 117459,emilyhall93@email.not,Seller,Senior,52919
Emily,Young,31/07/1994,EST,Female,YOUEMI94G31EST71,317 950263,emilyyoung94@email.not,Software Developer,Junior,64109
Aiden,Edwards,18/06/1960,BE,Male,EDWAID60F18BE70,331 436730,aidenedwards60@email.not,Marketing Manager,Lead/Manager,88498
Lucas,Edwards,14/08/1994,FR,Male,EDWLUC94H14FR77,320 649725,lucasedwards94@email.not,Human Resources Manager,Junior,48112
,,,,,,,,,,
Lucas,Robinson,07/09/1986,RS,Male,ROBLUC86I07RS50,346 376024,lucasrobinson86@email.not,Operations Manager,Junior,68338
Madison,Evans,23/07/1990,LTU,Female,EVAMAD90G23LTU16,353 649986,madisonevans90@email.not,Research and Development Engineer,Junior,64064
Eli,Robinson,11/07/1991,PL,Male,ROBELI91G11PL49,381 787290,elirobinson91@email.not,Software Developer,Lead/Manager,78541
Lila,Rodriguez,17/03/1997,GR,Female,RODLIL97C17GR13,339 309538,lilarodriguez97@email.not,Technical Support Technician,Senior,58535
Aurora,Parker,26/04/1967,IT,Female,PARAUR67D26IT98,338 648110,auroraparker67@email.not,Seller,Junior,48656
Wilson,Wilson,10/07/1998,EE,Male,WILWIL98G10EE46,388 114522,,Cybersecurity Expert,Lead/Manager,98017
Luna,Jackson,14/12/1967,FIN,Female,JACLUN67L14FIN29,349 193636,lunajackson67@email.not,Technical Support Technician,Intermediate,50596
Chloe,Jackson,25/12/1951,UA,Female,JACCHL51L25UA97,378 263427,chloejackson51@email.not,Cybersecurity Expert,Junior,64191
Hill,Garcia,28/04/1998,SRB,Male,GARHIL98D28SRB88,348 126606,hillgarcia98@email.not,Human Resources Manager,Intermediate,57004
Madison,Perez,03/01/1988,ES,Female,PERMAD88A03ES82,386 674762,madisonperez88@email.not,Seller,Senior,58332
Layla,Thomas,04/11/1973,ME,Female,THOLAY73K04ME65,374 107699,laylathomas73@email.not,Financial Analyst,Intermediate,55706
Mitchell,Thomas,09/10/2000,DE,Male,THOMIT00J09DE78,339 973669,mitchellthomas00@email.not,Seller,Junior,45128
Campbell,Turner,05/07/1983,IE,Male,TURCAM83G05IE15,344 661618,campbellturner83@email.not,Seller,Junior,46521
William,Martin,13/06/1988,AL,Male,MARWIL88F13AL39,387 910541,williammartin88@email.not,Software Developer,Senior,75112
Phillips,Perez,12/06/1981,EST,Male,PERPHI81F12EST74,316 286401,phillipsperez81@email.not,Technical Support Technician,Senior,61233
Miller,King,03/04/1968,LT,Male,KINMIL68D03LT19,389 411936,millerking68@email.not,Marketing Manager,Senior,83653
Sebastian,Young,24/10/1999,AT,Male,YOUSEB99J24AT61,342 967915,sebastianyoung99@email.not,Marketing Manager,Junior,50699
Nelson,Thomas,01/01/1969,XK,Male,THONEL69A01XK35,382 242080,nelsonthomas69@email.not,Seller,Senior,54974
Evans,Turner,03/11/1953,AL,Male,TUREVA53K03AL36,353 599899,evansturner53@email.not,Operations Manager,Junior,66136
Ella,Turner,04/01/1961,BG,Female,TURELL61A04BG27,373 403206,ellaturner61@email.not,Operations Manager,Junior,58697
Ruby,Smith,12/04/1993,MCO,Female,SMIRUB93D12MCO38,361 125755,rubysmith93@email.not,Cybersecurity Expert,Senior,85112
Mila,Robinson,29/10/1952,GR,Female,ROBMIL52J29GR84,385 856306,milarobinson52@email.not,Technical Support Technician,Lead/Manager,60781
,,,,,,,,,,
Nova,Lewis,28/06/1981,MLT,Female,LEWNOV81F28MLT31,345 249703,novalewis81@email.not,Financial Analyst,Senior,58808
Sebastian,Hall,17/01/1955,MK,Male,HALSEB55A17MK40,310 903931,sebastianhall55@email.not,Seller,Intermediate,57362
Aiden,Campbell,19/02/1951,DE,Male,CAMAID51B19DE42,315 173755,aidencampbell51@email.not,Operations Manager,Lead/Manager,103788
Layla,Johnson,19/09/1961,EST,Female,JOHLAY61I19EST13,342 473491,laylajohnson61@email.not,Research and Development Engineer,Intermediate,65268
Stewart,Harris,08/07/1965,NO,Male,HARSTE65G08NO49,373 427077,stewartharris65@email.not,Seller,Lead/Manager,61540
Eli,Green,27/10/1955,AND,Male,GREELI55J27AND26,322 228093,eligreen55@email.not,Seller,Lead/Manager,66147
Johnson,Taylor,30/07/1951,ISL,Male,TAYJOH51G30ISL68,310 306511,johnsontaylor51@email.not,Technical Support Technician,Lead/Manager,62971
Lyla,Johnson,19/02/1964,BIH,Female,JOHLYL64B19BIH41,370 117764,lylajohnson64@email.not,Software Developer,Senior,76648
Lyla,Carter,21/10/1979,BE,Female,CARLYL79J21BE68,359 601469,lylacarter79@email.not,Seller,Junior,43398
Scott,Roberts,03/08/1987,ROU,Male,ROBSCO87H03ROU80,336 908128,scottroberts87@email.not,Administrative Assistant,Intermediate,50094
Lopez,Clark,20/03/1964,EST,Male,CLALOP64C20EST90,344 432773,lopezclark64@email.not,Operations Manager,Senior,78546
Nora,Taylor,07/11/1982,FIN,Female,TAYNOR82K07FIN72,351 365540,norataylor82@email.not,Operations Manager,Lead/Manager,87838
Turner,Roberts,13/10/1976,RUS,Male,ROBTUR76J13RUS36,366 408279,turnerroberts76@email.not,Seller,Intermediate,49828
Olivia,Turner,02/11/1996,TUR,Female,TUROLI96K02TUR77,350 528402,oliviaturner96@email.not,Research and Development Engineer,Lead/Manager,82651
Luna,Turner,13/02/1992,ES,Female,TURLUN92B13ES39,330 282933,lunaturner92@email.not,Research and Development Engineer,Lead/Manager,91881
Ethan,Rodriguez,15/02/1964,MDA,Male,RODETH64B15MDA96,373 774881,ethanrodriguez64@email.not,Administrative Assistant,Junior,39843
Nelson,Miller,22/04/1970,SVN,Male,MILNEL70D22SVN24,376 490854,nelsonmiller70@email.not,Seller,Junior,46810
Ethan,Lopez,31/12/1998,LV,Male,LOPETH98L31LV74,317 699042,ethanlopez98@email.not,Human Resources Manager,Senior,66235
Aiden,Robinson,30/09/1998,AUT,Male,ROBAID98I30AUT91,378 516278,aidenrobinson98@email.not,Software Developer,Senior,83534
Noah,Carter,01/02/1977,SWE,Male,CARNOA77B01SWE19,318 376278,noahcarter77@email.not,Software Developer,Senior,85813
Alexander,White,07/01/1998,AUT,Male,WHIALE98A07AUT34,395 460415,alexanderwhite98@email.not,Seller,Senior,64990
Scarlett,Anderson,27/10/1967,PRT,Female,ANDSCA67J27PRT50,317 410072,scarlettanderson67@email.not,Marketing Manager,Intermediate,66633
Mitchell,Nelson,19/02/1990,ITA,Male,NELMIT90B19ITA40,373 679915,mitchellnelson90@email.not,Seller,Senior,63917
Gianna,Brown,18/03/1974,CYP,Female,BROGIA74C18CYP16,374 374163,giannabrown74@email.not,Software Developer,Lead/Manager,100557
Nova,Lopez,12/02/1978,VA,Female,LOPNOV78B12VA67,318 380586,novalopez78@email.not,Operations Manager,Lead/Manager,85236
,,,,,,,,,,
Collins,Taylor,27/11/1988,RS,Male,TAYCOL88K27RS12,384 785060,collinstaylor88@email.not,Technical Support Technician,Lead/Manager,66568
Charlotte,Martinez,20/09/1985,BG,Female,MARCHA85I20BG34,364 407851,charlottemartinez85@email.not,Operations Manager,Lead/Manager,104838
Aurora,Lopez,18/09/1958,BE,Female,LOPAUR58I18BE78,322 531454,auroralopez58@email.not,Marketing Manager,Senior,74725
Lopez,Adams,13/09/1956,BIH,Male,ADALOP56I13BIH12,371 762750,lopezadams56@email.not,Operations Manager,Senior,84177
Lucy,Jackson,07/01/1986,CHE,Female,JACLUC86A07CHE88,398 837490,lucyjackson86@email.not,Marketing Manager,Junior,62801
Ava,Brown,03/04/1985,SMR,Female,BROAVA85D03SMR53,366 734576,avabrown85@email.not,Seller,Junior,41518
,,,,,,,,,,
Elijah,Baker,14/09/1996,ISL,Male,BAKELI96I14ISL42,355 603352,elijahbaker96@email.not,Cybersecurity Expert,Senior,78114
Lila,Taylor,01/07/1998,LU,Female,TAYLIL98G01LU39,314 894302,lilataylor98@email.not,Financial Analyst,Junior,49209
Isabella,Harris,05/10/1984,SM,Female,HARISA84J05SM70,360 939825,isabellaharris84@email.not,Human Resources Manager,Junior,57322
Layla,White,17/07/2000,SM,Female,WHILAY00G17SM87,345 305148,laylawhite00@email.not,Financial Analyst,Lead/Manager,74070
Liam,Lopez,01/05/1966,CY,Male,LOPLIA66E01CY31,351 669230,liamlopez66@email.not,Seller,Senior,57570
Lillian,Roberts,14/07/1955,GBR,Female,ROBLIL55G14GBR48,321 795002,lillianroberts55@email.not,Technical Support Technician,Lead/Manager,69949
Campbell,Baker,25/05/1950,HR,Male,BAKCAM50E25HR79,317 896597,campbellbaker50@email.not,Seller,Intermediate,47899
Roberts,Rodriguez,05/08/1989,HU,Male,RODROB89H05HU11,345 250655,robertsrodriguez89@email.not,Seller,Lead/Manager,71814
Anderson,Baker,26/12/1999,AT,Male,BAKAND99L26AT79,379 649549,andersonbaker99@email.not,Seller,Intermediate,57160
Evelyn,Carter,16/10/1989,DK,Female,CAREVE89J16DK97,329 931335,evelyncarter89@email.not,Cybersecurity Expert,Lead/Manager,96060
Noah,Adams,09/11/1966,NOR,Male,ADANOA66K09NOR44,310 957070,noahadams66@email.not,Technical Support Technician,Lead/Manager,69910
Eli,Thompson,30/03/1993,UA,Male,THOELI93C30UA25,318 134522,elithompson93@email.not,Technical Support Technician,Junior,40128
Turner,Adams,19/12/1972,SMR,Male,ADATUR72L19SMR87,398 883604,turneradams72@email.not,Seller,Lead/Manager,71638
Chiara,Garcia,21/02/1978,BEL,Female,GARCHI78B21BEL33,319 713680,chiaragarcia78@email.not,Operations Manager,Junior,66422
