Name,Surname,Birth,Birth Country,Gender,Code,Role,Experience,Salary USD
Stewart,Harris,2000-09-08,LVA,Male,HARSTE00I08LVA37,Research and Development Engineer,Intermediate,75170.0
Aria,White,1987-03-30,XKX,Female,WHIARI87C30XKX74,Technical Support Technician,Junior,42857.0
Hill,Wilson,1988-03-11,VAT,Male,WILHIL88C11VAT78,Cybersecurity Expert,Senior,91429.0
Abigail,Wright,1957-10-07,POL,Female,WRIABI57J07POL99,Technical Support Technician,Senior,60221.0
Roberts,Mitchell,1968-02-20,BG,Male,MITROB68B20BG29,Software Developer,Senior,79563.0
Zara,Wright,1970-10-28,GB,Female,WRIZAR70J28GB96,Research and Development Engineer,Junior,60718.0
Lily,Nelson,1992-01-23,AND,Female,NELLIL92A23AND74,Software Developer,Lead/Manager,90327.0
Turner,Thomas,1986-06-21,SM,Male,THOTUR86F21SM35,Software Developer,Junior,52839.0
Campbell,Edwards,1992-12-05,NL,Male,EDWCAM92L05NL52,Cybersecurity Expert,Lead/Manager,95977.0
Alice,Martinez,1996-10-21,POL,Female,MARALI96J21POL93,Software Developer,Junior,53145.0
Johnson,Moore,1970-10-01,RO,Male,MOOJOH70J01RO53,Technical Support Technician,Lead/Manager,61998.0
Anderson,Smith,1992-10-29,GBR,Male,SMIAND92J29GBR82,Software Developer,Lead/Manager,78906.0
Mia,Young,1974-02-14,IS,Female,YOUMIA74B14IS49,Administrative Assistant,Lead/Manager,61360.0
Alice,Hall,1956-02-13,LTU,Female,HALALI56B13LTU37,Financial Analyst,Lead/Manager,78432.0
Caden,Young,1958-05-24,ITA,Male,YOUCAD58E24ITA71,Human Resources Manager,Senior,62491.0
Hill,Adams,1989-09-10,BG,Male,ADAHIL89I10BG22,Software Developer,Junior,59239.0
Zoey,Wilson,1959-04-25,NOR,Female,WILZOE59D25NOR32,Human Resources Manager,Intermediate,58417.0
Nora,Evans,1951-07-13,PL,Female,EVANOR51G13PL50,Financial Analyst,Junior,53258.0
Daniel,Stewart,1953-11-03,NLD,Male,STEDAN53K03NLD75,Research and Development Engineer,Intermediate,78393.0
Scott,Williams,1975-11-12,GEO,Male,WILSCO75K12GEO88,Technical Support Technician,Senior,55363.0
Lucy,Moore,1951-08-03,BG,Female,MOOLUC51H03BG71,Operations Manager,Lead/Manager,84141.0
Aurora,Anderson,1972-01-03,MT,Female,ANDAUR72A03MT17,Marketing Manager,Junior,62834.0
Lyla,Mitchell,1984-08-21,DE,Female,MITLYL84H21DE10,Seller,Intermediate,50050.0
Roberts,Walker,1966-09-11,LIE,Male,WALROB66I11LIE39,Seller,Senior,59293.0
Hannah,Hall,1969-03-15,FR,Female,HALHAN69C15FR24,Human Resources Manager,Intermediate,61395.0
Ruby,Thompson,1979-05-22,BG,Female,THORUB79E22BG27,Software Developer,Intermediate,60569.0
Mia,Hernandez,1992-01-20,AT,Female,HERMIA92A20AT61,Technical Support Technician,Lead/Manager,60637.0
Ella,Young,1997-06-30,SVK,Female,YOUELL97F30SVK93,Financial Analyst,Intermediate,56750.0
Elena,Hill,1990-10-24,FIN,Female,HILELE90J24FIN75,Seller,Senior,60564.0
Aurora,Hill,1959-06-16,MNE,Female,HILAUR59F16MNE38,Human Resources Manager,Senior,70879.0
Roberts,Williams,1981-09-05,AL,Male,WILROB81I05AL81,Seller,Lead/Manager,64393.0
Sofia,Rodriguez,1964-08-01,SVN,Female,RODSOF64H01SVN92,Financial Analyst,Intermediate,57077.0
Stella,Jones,1961-06-23,IS,Female,JONSTE61F23IS80,Seller,Lead/Manager,63958.0
Gianna,Evans,1987-02-19,NL,Female,EVAGIA87B19NL63,Software Developer,Intermediate,69633.0
Evans,Scott,1965-10-08,SM,Male,SCOEVA65J08SM99,Seller,Intermediate,48419.0
Aurora,Jones,1975-04-28,CYP,Female,JONAUR75D28CYP19,Operations Manager,Intermediate,63997.0
Leo,Collins,1985-02-08,IRL,Male,COLLEO85B08IRL67,Software Developer,Senior,77139.0
Riley,Rodriguez,1963-12-07,LT,Female,RODRIL63L07LT77,Software Developer,Senior,68818.0
Jackson,Clark,1985-11-12,LUX,Male,CLAJAC85K12LUX43,Human Resources Manager,Junior,57277.0
Lila,Brown,1964-07-05,MK,Female,BROLIL64G05MK69,Cybersecurity Expert,Intermediate,83116.0
Thomas,Anderson,1989-12-22,ME,Male,ANDTHO89L22ME41,Software Developer,Senior,80532.0
Ruby,Phillips,1999-07-18,CY,Female,PHIRUB99G18CY93,Research and Development Engineer,Lead/Manager,83976.0
Zoe,Lewis,1997-03-30,SWE,Female,LEWZOE97C30SWE10,Seller,Lead/Manager,70761.0
Evans,Miller,1988-10-22,PRT,Male,MILEVA88J22PRT73,Seller,Intermediate,55665.0
Evelyn,Garcia,1951-03-30,UKR,Female,GAREVE51C30UKR52,Seller,Junior,40181.0
Hill,Campbell,1998-02-04,GB,Male,CAMHIL98B04GB28,Research and Development Engineer,Junior,69633.0
Sebastian,Baker,1985-08-03,CY,Male,BAKSEB85H03CY56,Technical Support Technician,Junior,43308.0
Madison,Robinson,1996-05-10,SMR,Female,ROBMAD96E10SMR87,Human Resources Manager,Lead/Manager,79218.0
Elena,Lee,1985-10-05,BGR,Female,LEEELE85J05BGR63,Software Developer,Lead/Manager,96028.0
Olivia,Moore,1955-09-09,ITA,Female,MOOOLI55I09ITA16,Research and Development Engineer,Intermediate,71609.0
Scarlett,Thomas,1979-10-29,LV,Female,THOSCA79J29LV17,Seller,Intermediate,54763.0
Eli,Scott,1957-07-03,ME,Male,SCOELI57G03ME51,Administrative Assistant,Junior,35611.0
Stewart,Wilson,1987-01-25,MC,Male,WILSTE87A25MC11,Technical Support Technician,Intermediate,51781.0
Isabella,Martinez,1969-06-08,LTU,Female,MARISA69F08LTU90,Technical Support Technician,Senior,64048.0
Chiara,Mitchell,1991-03-18,LVA,Female,MITCHI91C18LVA33,Administrative Assistant,Intermediate,45364.0
Evelyn,Clark,1954-02-03,LV,Female,CLAEVE54B03LV27,Technical Support Technician,Junior,46049.0
Ruby,Lewis,1958-01-01,MKD,Female,LEWRUB58A01MKD52,Operations Manager,Intermediate,69545.0
Alexander,Adams,1966-03-10,BA,Male,ADAALE66C10BA41,Technical Support Technician,Intermediate,56591.0
Aria,Thompson,1999-12-08,AL,Female,THOARI99L08AL96,Human Resources Manager,Lead/Manager,81225.0
Luna,Scott,2000-03-30,TUR,Female,SCOLUN00C30TUR41,Administrative Assistant,Lead/Manager,56655.0
Nova,Johnson,1975-10-13,AD,Female,JOHNOV75J13AD87,Technical Support Technician,Senior,53125.0
Davis,Walker,1982-04-20,AL,Male,WALDAV82D20AL35,Cybersecurity Expert,Junior,72647.0
Ella,Lee,1986-09-24,LT,Female,LEEELL86I24LT27,Seller,Intermediate,48858.0
Charlotte,Thomas,1967-02-24,FI,Female,THOCHA67B24FI71,Seller,Junior,46804.0
Scott,Edwards,1953-10-31,RO,Male,EDWSCO53J31RO71,Financial Analyst,Junior,48167.0
Evelyn,Mitchell,1987-05-30,FR,Female,MITEVE87E30FR61,Technical Support Technician,Lead/Manager,61005.0
Grace,Allen,1991-06-17,AD,Female,ALLGRA91F17AD26,Operations Manager,Senior,80316.0
Johnson,Roberts,1995-02-13,SMR,Male,ROBJOH95B13SMR52,Financial Analyst,Senior,65154.0
Lily,Walker,1985-11-13,LTU,Female,WALLIL85K13LTU88,Research and Development Engineer,Junior,61223.0
Daniel,Hernandez,1997-02-06,ITA,Male,HERDAN97B06ITA98,Seller,Senior,55697.0
Emily,Martinez,1992-08-15,SM,Female,MAREMI92H15SM13,Marketing Manager,Lead/Manager,97165.0
Sebastian,Hall,1973-02-20,FR,Male,HALSEB73B20FR62,Seller,Intermediate,48273.0
Caden,Taylor,1967-08-07,XKX,Male,TAYCAD67H07XKX44,Financial Analyst,Junior,45173.0
Emily,Nelson,1963-10-26,BEL,Female,NELEMI63J26BEL86,Operations Manager,Intermediate,78060.0
Riley,Turner,1998-11-04,ME,Female,TURRIL98K04ME31,Operations Manager,Intermediate,80182.0
Hazel,Campbell,1993-10-20,BGR,Female,CAMHAZ93J20BGR93,Research and Development Engineer,Junior,55326.0
Nora,Martinez,1966-01-31,LT,Female,MARNOR66A31LT37,Human Resources Manager,Junior,54002.0
Johnson,Thompson,1980-12-14,NLD,Male,THOJOH80L14NLD12,Technical Support Technician,Intermediate,47658.0
Luna,Mitchell,1971-11-06,NLD,Female,MITLUN71K06NLD28,Administrative Assistant,Junior,44233.0
Parker,Martinez,1985-09-29,LV,Male,MARPAR85I29LV78,Operations Manager,Junior,57706.0
Chiara,Adams,1993-01-24,MC,Female,ADACHI93A24MC15,Administrative Assistant,Junior,36832.0
Evans,Jones,1952-03-17,MT,Male,JONEVA52C17MT61,Administrative Assistant,Senior,55929.0
Hill,Thomas,1986-06-22,LU,Male,THOHIL86F22LU64,Administrative Assistant,Senior,53450.0
Aiden,Lopez,1982-01-20,GB,Male,LOPAID82A20GB24,Financial Analyst,Junior,53373.0
Davis,Hernandez,1995-05-04,HUN,Male,HERDAV95E04HUN24,Cybersecurity Expert,Lead/Manager,90207.0
Victoria,Campbell,1960-08-25,LIE,Female,CAMVIC60H25LIE35,Human Resources Manager,Intermediate,59641.0
Elena,Martinez,1962-09-20,LV,Female,MARELE62I20LV23,Financial Analyst,Intermediate,52228.0
Davis,Roberts,1982-04-29,FR,Male,ROBDAV82D29FR15,Software Developer,Intermediate,74507.0
Gianna,Garcia,1985-02-19,LI,Female,GARGIA85B19LI80,Seller,Senior,52361.0
James,Thomas,1975-01-06,RS,Male,THOJAM75A06RS69,Cybersecurity Expert,Senior,89472.0
Layla,Walker,1994-01-07,RS,Female,WALLAY94A07RS34,Administrative Assistant,Junior,39954.0
